,گروه کالا1,گروه کالا2,support,ضریب اطمینان,lift
272,['200052.0'],"['200072.0', '200063.0']",0.010869565217391304,0.5,15.333333333333334
273,['200063.0'],"['200072.0', '200052.0']",0.010869565217391304,0.125,11.5
274,"['200063.0', '200052.0']",['200072.0'],0.010869565217391304,1.0,2.6285714285714286
275,"['200072.0', '200052.0']",['200063.0'],0.010869565217391304,1.0,11.5
276,"['200072.0', '200063.0']",['200052.0'],0.010869565217391304,0.3333333333333333,15.333333333333332
277,['200052.0'],"['200070.0', '200071.0']",0.010869565217391304,0.5,9.200000000000001
278,['200071.0'],"['200070.0', '200052.0']",0.010869565217391304,0.0909090909090909,8.363636363636363
279,"['200070.0', '200052.0']",['200071.0'],0.010869565217391304,1.0,8.363636363636363
280,"['200052.0', '200071.0']",['200070.0'],0.010869565217391304,1.0,4.380952380952381
281,"['200070.0', '200071.0']",['200052.0'],0.010869565217391304,0.2,9.200000000000001
282,['200052.0'],"['200070.0', '200072.0']",0.010869565217391304,0.5,4.181818181818182
283,"['200070.0', '200052.0']",['200072.0'],0.010869565217391304,1.0,2.6285714285714286
284,"['200072.0', '200052.0']",['200070.0'],0.010869565217391304,1.0,4.380952380952381
285,"['200070.0', '200072.0']",['200052.0'],0.010869565217391304,0.0909090909090909,4.181818181818182
286,['200052.0'],"['200072.0', '200071.0']",0.010869565217391304,0.5,11.5
287,['200071.0'],"['200072.0', '200052.0']",0.010869565217391304,0.0909090909090909,8.363636363636363
288,"['200052.0', '200071.0']",['200072.0'],0.010869565217391304,1.0,2.6285714285714286
289,"['200072.0', '200052.0']",['200071.0'],0.010869565217391304,1.0,8.363636363636363
290,"['200072.0', '200071.0']",['200052.0'],0.010869565217391304,0.25,11.5
291,['200053.0'],"['200057.0', '200063.0']",0.010869565217391304,0.3333333333333333,15.333333333333332
292,['200057.0'],"['200053.0', '200063.0']",0.010869565217391304,0.3333333333333333,30.666666666666664
